1,0.3663,19.3898,5.5117,5.5277,19.3890
100,0.3284,16.4758,5.5254,5.4982,3.5368
200,0.3468,7.7787,5.5059,5.2872,1.2942
300,0.3220,3.4146,5.5312,5.4989,2.0965
400,0.2442,2.1300,5.5000,5.5955,3.3756
500,0.1829,1.1920,5.4355,5.3383,2.9641
600,0.1432,0.8357,5.4688,5.6785,2.9306
700,0.1253,0.7311,5.3516,5.4549,2.9914
800,0.1173,0.6336,5.3750,5.5278,3.1186
900,0.1124,0.5573,5.1992,5.5122,3.0004
1000,0.1107,0.5468,5.0840,5.4792,3.0539
1100,0.1086,0.4950,5.0879,5.5157,3.0656
1200,0.1070,0.4218,5.0430,5.5114,3.2407
1300,0.1077,0.4524,4.9316,5.5603,3.3305
1400,0.1090,0.4409,4.8359,5.5326,3.4329
1500,0.1091,0.4677,4.7852,5.4582,3.3281
1600,0.1092,0.4049,4.7793,5.4836,3.4670
1700,0.1114,0.4866,4.6533,5.5195,3.5669
1800,0.1121,0.3922,4.8086,5.4905,3.5112
1900,0.1143,0.3301,4.9375,5.5739,3.4688
2000,0.1158,0.3775,4.8242,5.5330,2.8299
2100,0.1240,0.3648,5.3926,5.5706,1.9800
2200,0.1267,0.3323,5.6758,5.5789,1.4641
2300,0.1231,0.4299,5.6699,5.4935,1.3212
2400,0.1223,0.3443,5.6309,5.5343,1.2936
2500,0.1174,0.3040,5.4922,5.4956,1.4691
2600,0.1204,0.3846,5.4824,5.5434,1.5767
2700,0.1205,0.3752,5.3652,5.5451,1.4349
2800,0.1222,0.3927,5.3965,5.4852,1.5478
2900,0.1219,0.4689,5.4414,5.5320,1.4994
3000,0.1173,0.3967,5.1924,5.5212,1.3660
3100,0.1184,0.3221,5.2715,5.5029,1.2422
3200,0.1203,0.3764,5.3301,5.4974,1.2974
3300,0.1161,0.3853,5.3574,5.5046,1.0513
3400,0.1195,0.3296,5.2090,5.5230,1.1786
3500,0.1195,0.3156,5.0820,5.5019,1.1224
3600,0.1166,0.3381,4.7686,5.4679,1.1913
3700,0.1188,0.3478,4.9033,5.5812,1.2634
3800,0.1164,0.2623,5.0703,5.5008,1.0963
3900,0.1184,0.3267,5.0215,5.5314,1.2123
4000,0.1175,0.3142,5.1621,5.5416,1.1685
4100,0.1170,0.2612,5.0420,5.5079,0.9871
4200,0.1210,0.2827,4.9648,5.5326,1.0130
4300,0.1157,0.2561,5.1133,5.5949,1.0220
4400,0.1168,0.3134,5.0176,5.5339,1.1136
4500,0.1170,0.3094,4.6309,5.4345,1.1468
4600,0.1147,0.2576,5.0215,5.5286,1.0194
4700,0.1164,0.2625,4.6133,5.4891,1.1296
4800,0.1157,0.2922,4.8711,5.4843,1.1141
4900,0.1144,0.3032,5.1484,5.5034,1.0766
5000,0.1160,0.2867,4.8906,5.4981,1.0375
5100,0.1155,0.2688,4.9521,5.4998,1.0714
5200,0.1165,0.3062,4.7021,5.5022,1.0884
5300,0.1166,0.2695,4.7686,5.5342,1.0551
5400,0.1144,0.3211,4.7959,5.5297,1.0705
5500,0.1164,0.2969,4.7559,5.5560,1.0176
5600,0.1134,0.2233,4.7314,5.4809,0.9208
5700,0.1180,0.2761,4.9688,5.5676,0.9798
5800,0.1122,0.2677,4.6738,5.5256,0.8934
5900,0.1155,0.2783,4.2920,5.5246,1.0466
6000,0.1147,0.2019,4.6777,5.5787,0.8339
6100,0.1128,0.2430,4.3076,5.5130,0.9354
6200,0.1150,0.2483,4.8008,5.5387,0.9605
6300,0.1146,0.2522,4.7041,5.5126,0.8666
6400,0.1140,0.2325,4.8154,5.5095,0.8794
6500,0.1168,0.3001,4.8535,5.5642,0.9792
6600,0.1159,0.3221,4.3262,5.4657,1.0157
6700,0.1134,0.2628,4.3359,5.5252,0.9682
6800,0.1142,0.2489,4.6621,5.4815,0.8216
6900,0.1137,0.3750,4.6162,5.5001,0.9740
7000,0.1125,0.1928,4.3545,5.5382,0.8437
7100,0.1137,0.2340,4.7969,5.5364,0.8020
7200,0.1134,0.2354,4.5430,5.5521,0.8031
7300,0.1130,0.2473,4.4590,5.4850,0.8630
7400,0.1118,0.2498,4.3374,5.5041,0.8450
7500,0.1129,0.2569,4.4141,5.5041,0.8399
7600,0.1112,0.3418,4.2920,5.5256,0.8933
7700,0.1131,0.2553,4.3955,5.5625,0.8521
7800,0.1153,0.3499,4.2324,5.4845,0.9204
7900,0.1129,0.2431,4.5518,5.5166,0.7535
8000,0.1132,0.2639,4.3311,5.4792,0.8157
8100,0.1128,0.2554,3.9429,5.5076,0.8687
8200,0.1119,0.2861,4.4795,5.5191,0.8443
8300,0.1107,0.4062,4.0850,5.5838,0.9603
8400,0.1144,0.2506,4.1040,5.5152,0.8186
8500,0.1121,0.2476,4.2539,5.4557,0.8329
8600,0.1102,0.2053,4.2422,5.4925,0.7745
8700,0.1125,0.2649,4.4238,5.4657,0.7854
8800,0.1119,0.2815,3.9094,5.5086,0.8051
8900,0.1128,0.2182,3.9927,5.4860,0.7672
9000,0.1124,0.2353,4.0811,5.4865,0.8272
9100,0.1114,0.2804,4.0879,5.5537,0.8180
9200,0.1121,0.2548,3.9326,5.4945,0.8696
9300,0.1133,0.2890,4.3330,5.5085,0.7957
9400,0.1118,0.2886,3.8584,5.5443,0.8257
9500,0.1102,0.2754,4.0820,5.5222,0.7325
9600,0.1117,0.2728,4.1211,5.4829,0.8391
9700,0.1133,0.3145,4.0784,5.5209,0.8243
9800,0.1124,0.2711,4.3154,5.5056,0.8604
9900,0.1111,0.2668,4.0752,5.4786,0.7485
10000,0.1115,0.2078,3.8545,5.4824,0.7098
10100,0.1120,0.2872,3.8193,5.4971,0.7856
10200,0.1140,0.2981,4.1484,5.5048,0.8704
10300,0.1129,0.2606,3.9863,5.5353,0.7720
10400,0.1127,0.2241,3.8896,5.4827,0.7099
10500,0.1120,0.2118,3.9807,5.5066,0.6709
10600,0.1112,0.2882,4.1060,5.5043,0.8401
10700,0.1117,0.2093,4.1387,5.5070,0.7178
10800,0.1134,0.3514,4.0029,5.5022,0.9180
10900,0.1140,0.2365,4.1401,5.5437,0.7657
11000,0.1112,0.2451,4.0488,5.4917,0.7469
11100,0.1117,0.2774,3.9658,5.4899,0.8009
11200,0.1102,0.2830,3.7520,5.4816,0.7618
11300,0.1111,0.2352,3.7576,5.4766,0.7466
11400,0.1143,0.2838,3.9568,5.5174,0.7666
11500,0.1131,0.2544,4.2188,5.5097,0.7556
11600,0.1115,0.2098,3.8857,5.4698,0.7021
11700,0.1102,0.2007,4.0229,5.5026,0.6491
11800,0.1120,0.2626,3.9331,5.4835,0.7906
11900,0.1122,0.3344,4.1631,5.4965,0.8268
12000,0.1121,0.3257,4.0122,5.4719,0.8702
